model,accuracy,precision,recall,f1,roc_auc
logreg,0.7475,0.10344827586206896,0.8382352941176471,0.1841680129240711,0.849021130191207
rf,0.98,0.7121212121212122,0.6911764705882353,0.7014925373134329,0.9613247472902205
gb,0.9845,0.8490566037735849,0.6617647058823529,0.743801652892562,0.9618157045426868
